ID_amine,ROMol_amine,ID_carboxyl,ROMol_carboxyl,product,amine,carboxyl
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-342529,<rdkit.Chem.rdchem.Mol object at 0x16a246110>,Cc1cc(CNC(=O)C[C@@H]2COc3cc(O)ccc32)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)C[C@@H]1COc2cc(O)ccc21
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-50169,<rdkit.Chem.rdchem.Mol object at 0x16a2460a0>,Cc1cc(CNC(=O)[C@H](C)NC(=O)c2cnoc2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1oncc1C(=O)N[C@@H](C)C(=O)O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1845415,<rdkit.Chem.rdchem.Mol object at 0x16a2461f0>,Cc1cc(CNC(=O)CCc2cn3ccccc3n2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCc1cn2ccccc2n1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-108146,<rdkit.Chem.rdchem.Mol object at 0x16a246180>,Cc1cc(CNC(=O)C#Cc2ccc3c(c2)OCO3)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)C#Cc1ccc2c(c1)OCO2
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1765893,<rdkit.Chem.rdchem.Mol object at 0x16a2462d0>,Cc1cc(CNC(=O)[C@@H]2C[C@H]2c2ccc(O)cc2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)[C@@H]1C[C@H]1c1ccc(O)cc1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1264296,<rdkit.Chem.rdchem.Mol object at 0x16a246260>,Cc1cc(CNC(=O)/C=C/c2c(C)nn(C)c2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1nn(C)c(C)c1/C=C/C(=O)O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-395857,<rdkit.Chem.rdchem.Mol object at 0x16a2463b0>,Cc1cc(CNC(=O)c2ccc3c(c2)NC(=O)CC3)n(C)n1,Cc1cc(CN)n(C)n1,O=C1CCc2ccc(C(=O)O)cc2N1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-267747,<rdkit.Chem.rdchem.Mol object at 0x16a246340>,Cc1cc(CNC(=O)CC(=O)Nc2ccccc2F)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CC(=O)Nc1ccccc1F
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-52452,<rdkit.Chem.rdchem.Mol object at 0x16a246490>,CC(=O)Nc1ccc(O)c(C(=O)NCc2cc(C)nn2C)c1,Cc1cc(CN)n(C)n1,CC(=O)Nc1ccc(O)c(C(=O)O)c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-45508,<rdkit.Chem.rdchem.Mol object at 0x16a246420>,Cc1cc(CNC(=O)CNC(=O)c2ccoc2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1occc1C(=O)NCC(=O)O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-270448,<rdkit.Chem.rdchem.Mol object at 0x16a246570>,Cc1cc(CNC(=O)/C=C/c2cc3ccccc3o2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1cc2ccccc2o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-50614,<rdkit.Chem.rdchem.Mol object at 0x16a246500>,Cc1cc(CNC(=O)CCC2=NC(=S)N=C2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCC1=NC(=S)N=C1
